recordedAt,receivedAt,tukTukRegistrationNumber,plateNumber,deviceSerialNumber,provinceCode,districtCode,stationCode,latitude,longitude,speedKmh,heading,accuracyM,ignitionOn
2026-04-23T00:30:00.000Z,2026-04-23T00:30:27.000Z,REG-2026-000029,WP-CAB-5029,SIM-TD-029,WP,GAM,KEL,6.9554227,79.9218748,0,,4.66,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:30.000Z,REG-2026-000033,CP-CAB-5033,SIM-TD-033,CP,NUW,NUWPS,6.9495202,80.7889818,0,,7.3,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:15.000Z,REG-2026-000011,SP-CAB-5011,SIM-TD-011,SP,MATR,MATP,5.9549667,80.5552462,0,,6.02,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:39.000Z,REG-2026-000044,NCP-CAB-5044,SIM-TD-044,NCP,POL,POLP,7.9404894,81.0187149,0,,5.19,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:15.000Z,REG-2026-000027,WP-CAB-5027,SIM-TD-027,WP,COL,MNTL,6.8391347,79.8628875,0,,5.51,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:26.000Z,REG-2026-000025,WP-CAB-5025,SIM-TD-025,WP,COL,FORT,6.9341887,79.8426961,0,,7.45,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:14.000Z,REG-2026-000012,SP-CAB-5012,SIM-TD-012,SP,HAM,HAMB,6.1240329,81.118708,0,,7.9,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:19.000Z,REG-2026-000013,NP-CAB-5013,SIM-TD-013,NP,JAF,JAFP,9.6616037,80.0257435,0,,7.65,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:32.000Z,REG-2026-000043,NCP-CAB-5043,SIM-TD-043,NCP,ANU,ANUP,8.3112324,80.4035474,0,,7.65,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:31.000Z,REG-2026-000039,EP-CAB-5039,SIM-TD-039,EP,BAT,BATP,7.7103702,81.6925823,0,,8.24,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:31.000Z,REG-2026-000007,CP-CAB-5007,SIM-TD-007,CP,KAN,KDY,7.2904598,80.6338003,0,,6.39,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:15.000Z,REG-2026-000001,WP-CAB-5001,SIM-TD-001,WP,COL,FORT,6.9341993,79.8427431,0,,5.68,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:15.000Z,REG-2026-000004,WP-CAB-5004,SIM-TD-004,WP,GAM,NEG,7.2082701,79.8358261,0,,5.19,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:35.000Z,REG-2026-000028,WP-CAB-5028,SIM-TD-028,WP,GAM,NEG,7.208538,79.8360076,0,,5.3,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:25.000Z,REG-2026-000035,SP-CAB-5035,SIM-TD-035,SP,MATR,MATP,5.9547624,80.5549089,0,,7.11,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:22.000Z,REG-2026-000045,UVA-CAB-5045,SIM-TD-045,UVA,BAD,BADP,6.993271,81.0550598,0,,7.24,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:23.000Z,REG-2026-000016,EP-CAB-5016,SIM-TD-016,EP,AMP,AMPP,7.2916967,81.6723093,0,,3.93,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:17.000Z,REG-2026-000042,NWP-CAB-5042,SIM-TD-042,NWP,PUT,PUTP,8.0359513,79.8283464,0,,5.91,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:12.000Z,REG-2026-000014,EP-CAB-5014,SIM-TD-014,EP,TRI,TRIP,8.5873922,81.2152991,0,,5.87,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:35.000Z,REG-2026-000022,UVA-CAB-5022,SIM-TD-022,UVA,MON,MONP,6.872894,81.3507474,0,,7.83,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:22.000Z,REG-2026-000030,WP-CAB-5030,SIM-TD-030,WP,KAL,PAN,6.713421,79.906365,0,,7.31,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:21.000Z,REG-2026-000002,WP-CAB-5002,SIM-TD-002,WP,COL,PET,6.9392341,79.8506925,0,,4.56,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:30.000Z,REG-2026-000040,EP-CAB-5040,SIM-TD-040,EP,AMP,AMPP,7.2913591,81.6724024,0,,7.99,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:29.000Z,REG-2026-000077,WP-CAB-5077,SIM-TD-077,WP,GAM,KEL,6.9552209,79.9219602,0,,7.47,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:18.000Z,REG-2026-000081,CP-CAB-5081,SIM-TD-081,CP,NUW,NUWPS,6.949759,80.78887,0,,7.57,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:32.000Z,REG-2026-000053,WP-CAB-5053,SIM-TD-053,WP,GAM,KEL,6.9554185,79.9220671,0,,4.84,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:26.000Z,REG-2026-000078,WP-CAB-5078,SIM-TD-078,WP,KAL,PAN,6.7132566,79.9063707,0,,7.35,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:26.000Z,REG-2026-000047,SAB-CAB-5047,SIM-TD-047,SAB,RAT,RATP,6.6829756,80.399035,0,,5.84,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:27.000Z,REG-2026-000058,SP-CAB-5058,SIM-TD-058,SP,GAL,GALP,6.0327828,80.2165796,0,,8.36,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:36.000Z,REG-2026-000073,WP-CAB-5073,SIM-TD-073,WP,COL,FORT,6.9343837,79.8429463,0,,3.71,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:13.000Z,REG-2026-000048,SAB-CAB-5048,SIM-TD-048,SAB,KEG,KEGP,7.251324,80.3466053,0,,6.27,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:18.000Z,REG-2026-000079,CP-CAB-5079,SIM-TD-079,CP,KAN,KDY,7.2905458,80.6336368,0,,4.99,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:40.000Z,REG-2026-000064,EP-CAB-5064,SIM-TD-064,EP,AMP,AMPP,7.2916097,81.6722429,0,,8.06,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:24.000Z,REG-2026-000070,UVA-CAB-5070,SIM-TD-070,UVA,MON,MONP,6.8729297,81.3507914,0,,4.53,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:12.000Z,REG-2026-000062,EP-CAB-5062,SIM-TD-062,EP,TRI,TRIP,8.5873594,81.2153353,0,,4.39,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:36.000Z,REG-2026-000087,EP-CAB-5087,SIM-TD-087,EP,BAT,BATP,7.7101815,81.6921829,0,,4.01,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:29.000Z,REG-2026-000046,UVA-CAB-5046,SIM-TD-046,UVA,MON,MONP,6.8730346,81.3504656,0,,7.29,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:35.000Z,REG-2026-000067,NCP-CAB-5067,SIM-TD-067,NCP,ANU,ANUP,8.3115078,80.4034761,0,,4.96,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:17.000Z,REG-2026-000074,WP-CAB-5074,SIM-TD-074,WP,COL,PET,6.9390408,79.8505005,0,,6.3,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:36.000Z,REG-2026-000085,NP-CAB-5085,SIM-TD-085,NP,JAF,JAFP,9.661361,80.0252929,0,,7.03,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:23.000Z,REG-2026-000049,WP-CAB-5049,SIM-TD-049,WP,COL,FORT,6.9342908,79.8428049,0,,4.35,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:24.000Z,REG-2026-000059,SP-CAB-5059,SIM-TD-059,SP,MATR,MATP,5.954698,80.5547546,0,,3.93,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:22.000Z,REG-2026-000075,WP-CAB-5075,SIM-TD-075,WP,COL,MNTL,6.8389813,79.8627729,0,,7.05,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:27.000Z,REG-2026-000065,NWP-CAB-5065,SIM-TD-065,NWP,KUR,KURP,7.4863273,80.3647681,0,,4.6,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:23.000Z,REG-2026-000052,WP-CAB-5052,SIM-TD-052,WP,GAM,NEG,7.2081763,79.8358394,0,,8.08,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:25.000Z,REG-2026-000083,SP-CAB-5083,SIM-TD-083,SP,MATR,MATP,5.955009,80.5551756,0,,5.97,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:31.000Z,REG-2026-000060,SP-CAB-5060,SIM-TD-060,SP,HAM,HAMB,6.123926,81.1183267,0,,4.23,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:38.000Z,REG-2026-000088,EP-CAB-5088,SIM-TD-088,EP,AMP,AMPP,7.29172,81.6723514,0,,6.14,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:39.000Z,REG-2026-000068,NCP-CAB-5068,SIM-TD-068,NCP,POL,POLP,7.9401502,81.0186786,0,,7.91,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:18.000Z,REG-2026-000086,EP-CAB-5086,SIM-TD-086,EP,TRI,TRIP,8.5873765,81.2151712,0,,6.09,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:12.000Z,REG-2026-000071,SAB-CAB-5071,SIM-TD-071,SAB,RAT,RATP,6.6828381,80.3992683,0,,4.54,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:39.000Z,REG-2026-000066,NWP-CAB-5066,SIM-TD-066,NWP,PUT,PUTP,8.0361836,79.8281538,0,,4.74,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:19.000Z,REG-2026-000072,SAB-CAB-5072,SIM-TD-072,SAB,KEG,KEGP,7.2509799,80.3461664,0,,5.9,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:24.000Z,REG-2026-000055,CP-CAB-5055,SIM-TD-055,CP,KAN,KDY,7.2907234,80.6336574,0,,7.9,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:26.000Z,REG-2026-000063,EP-CAB-5063,SIM-TD-063,EP,BAT,BATP,7.7104372,81.6922679,0,,8.38,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:18.000Z,REG-2026-000069,UVA-CAB-5069,SIM-TD-069,UVA,BAD,BADP,6.9935143,81.0548126,0,,4.52,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:37.000Z,REG-2026-000080,CP-CAB-5080,SIM-TD-080,CP,KAN,PER,7.2663371,80.5941703,0,,4.97,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:35.000Z,REG-2026-000057,CP-CAB-5057,SIM-TD-057,CP,NUW,NUWPS,6.9497395,80.7891328,0,,5.91,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:18.000Z,REG-2026-000082,SP-CAB-5082,SIM-TD-082,SP,GAL,GALP,6.0328993,80.2166192,0,,4.97,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:27.000Z,REG-2026-000056,CP-CAB-5056,SIM-TD-056,CP,KAN,PER,7.2663494,80.5938131,0,,4.92,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:23.000Z,REG-2026-000054,WP-CAB-5054,SIM-TD-054,WP,KAL,PAN,6.7134172,79.9065019,0,,5.39,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:19.000Z,REG-2026-000050,WP-CAB-5050,SIM-TD-050,WP,COL,PET,6.9392309,79.8508296,0,,4.37,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:35.000Z,REG-2026-000084,SP-CAB-5084,SIM-TD-084,SP,HAM,HAMB,6.1242546,81.1183469,0,,5.7,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:31.000Z,REG-2026-000061,NP-CAB-5061,SIM-TD-061,NP,JAF,JAFP,9.6616156,80.0254917,0,,3.78,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:16.000Z,REG-2026-000076,WP-CAB-5076,SIM-TD-076,WP,GAM,NEG,7.2083341,79.8357686,0,,4.2,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:33.000Z,REG-2026-000051,WP-CAB-5051,SIM-TD-051,WP,COL,MNTL,6.8390429,79.8628706,0,,4.65,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:25.000Z,REG-2026-000168,SAB-CAB-5168,SIM-TD-168,SAB,KEG,KEGP,7.2511349,80.3462823,0,,3.81,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:31.000Z,REG-2026-000149,WP-CAB-5149,SIM-TD-149,WP,GAM,KEL,6.95537,79.9221461,0,,4.63,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:34.000Z,REG-2026-000162,NWP-CAB-5162,SIM-TD-162,NWP,PUT,PUTP,8.0359698,79.8282394,0,,7.78,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:38.000Z,REG-2026-000132,SP-CAB-5132,SIM-TD-132,SP,HAM,HAMB,6.1240175,81.1183668,0,,6.01,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:12.000Z,REG-2026-000151,CP-CAB-5151,SIM-TD-151,CP,KAN,KDY,7.2904301,80.633615,0,,5.18,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:12.000Z,REG-2026-000133,NP-CAB-5133,SIM-TD-133,NP,JAF,JAFP,9.6612885,80.0255755,0,,3.83,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:31.000Z,REG-2026-000171,WP-CAB-5171,SIM-TD-171,WP,COL,MNTL,6.838816,79.8630311,0,,5.5,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:29.000Z,REG-2026-000143,SAB-CAB-5143,SIM-TD-143,SAB,RAT,RATP,6.6829437,80.3992532,0,,6.13,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:22.000Z,REG-2026-000174,WP-CAB-5174,SIM-TD-174,WP,KAL,PAN,6.7133604,79.9068032,0,,5.62,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:33.000Z,REG-2026-000137,NWP-CAB-5137,SIM-TD-137,NWP,KUR,KURP,7.4861397,80.3646658,0,,8.35,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:19.000Z,REG-2026-000165,UVA-CAB-5165,SIM-TD-165,UVA,BAD,BADP,6.9933352,81.0551119,0,,5.59,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:21.000Z,REG-2026-000145,WP-CAB-5145,SIM-TD-145,WP,COL,FORT,6.9341593,79.8428001,0,,7.61,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:15.000Z,REG-2026-000136,EP-CAB-5136,SIM-TD-136,EP,AMP,AMPP,7.2916325,81.6724653,0,,3.97,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:19.000Z,REG-2026-000150,WP-CAB-5150,SIM-TD-150,WP,KAL,PAN,6.7130087,79.906777,0,,4.26,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:31.000Z,REG-2026-000158,EP-CAB-5158,SIM-TD-158,EP,TRI,TRIP,8.5875122,81.2151314,0,,7.93,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:12.000Z,REG-2026-000154,SP-CAB-5154,SIM-TD-154,SP,GAL,GALP,6.0328063,80.2170429,0,,6.25,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:16.000Z,REG-2026-000134,EP-CAB-5134,SIM-TD-134,EP,TRI,TRIP,8.587158,81.2151316,0,,6.3,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:35.000Z,REG-2026-000139,NCP-CAB-5139,SIM-TD-139,NCP,ANU,ANUP,8.3114398,80.4038582,0,,5.15,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:24.000Z,REG-2026-000161,NWP-CAB-5161,SIM-TD-161,NWP,KUR,KURP,7.4860975,80.3645114,0,,7.64,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:33.000Z,REG-2026-000144,SAB-CAB-5144,SIM-TD-144,SAB,KEG,KEGP,7.2512337,80.3463783,0,,3.71,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:32.000Z,REG-2026-000164,NCP-CAB-5164,SIM-TD-164,NCP,POL,POLP,7.9402102,81.0190469,0,,5.87,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:28.000Z,REG-2026-000146,WP-CAB-5146,SIM-TD-146,WP,COL,PET,6.93911,79.8505939,0,,7.85,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:15.000Z,REG-2026-000172,WP-CAB-5172,SIM-TD-172,WP,GAM,NEG,7.2085183,79.8357313,0,,6.23,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:18.000Z,REG-2026-000166,UVA-CAB-5166,SIM-TD-166,UVA,MON,MONP,6.8725825,81.3507485,0,,7.98,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:30.000Z,REG-2026-000142,UVA-CAB-5142,SIM-TD-142,UVA,MON,MONP,6.8726387,81.3507829,0,,6.88,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:31.000Z,REG-2026-000167,SAB-CAB-5167,SIM-TD-167,SAB,RAT,RATP,6.6827254,80.3990004,0,,5.1,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:23.000Z,REG-2026-000147,WP-CAB-5147,SIM-TD-147,WP,COL,MNTL,6.838871,79.8630028,0,,5.42,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:12.000Z,REG-2026-000156,SP-CAB-5156,SIM-TD-156,SP,HAM,HAMB,6.124185,81.1186767,0,,7.2,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:40.000Z,REG-2026-000157,NP-CAB-5157,SIM-TD-157,NP,JAF,JAFP,9.6613446,80.0253521,0,,5.36,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:22.000Z,REG-2026-000152,CP-CAB-5152,SIM-TD-152,CP,KAN,PER,7.2665927,80.5940934,0,,3.58,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:36.000Z,REG-2026-000141,UVA-CAB-5141,SIM-TD-141,UVA,BAD,BADP,6.9933744,81.0551651,0,,3.52,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:38.000Z,REG-2026-000173,WP-CAB-5173,SIM-TD-173,WP,GAM,KEL,6.9551571,79.9220439,0,,4.17,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:21.000Z,REG-2026-000160,EP-CAB-5160,SIM-TD-160,EP,AMP,AMPP,7.2915597,81.6726161,0,,6.74,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:35.000Z,REG-2026-000169,WP-CAB-5169,SIM-TD-169,WP,COL,FORT,6.9341836,79.842937,0,,3.71,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:28.000Z,REG-2026-000140,NCP-CAB-5140,SIM-TD-140,NCP,POL,POLP,7.9400727,81.0189424,0,,6.64,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:14.000Z,REG-2026-000153,CP-CAB-5153,SIM-TD-153,CP,NUW,NUWPS,6.9496412,80.7890845,0,,5.53,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:36.000Z,REG-2026-000155,SP-CAB-5155,SIM-TD-155,SP,MATR,MATP,5.9547112,80.5550759,0,,7.97,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:26.000Z,REG-2026-000135,EP-CAB-5135,SIM-TD-135,EP,BAT,BATP,7.7102231,81.6923515,0,,3.74,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:39.000Z,REG-2026-000170,WP-CAB-5170,SIM-TD-170,WP,COL,PET,6.9388889,79.850813,0,,7.4,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:21.000Z,REG-2026-000138,NWP-CAB-5138,SIM-TD-138,NWP,PUT,PUTP,8.0360664,79.8285405,0,,7.92,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:17.000Z,REG-2026-000163,NCP-CAB-5163,SIM-TD-163,NCP,ANU,ANUP,8.3113534,80.4035413,0,,7.99,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:21.000Z,REG-2026-000148,WP-CAB-5148,SIM-TD-148,WP,GAM,NEG,7.208086,79.8358216,0,,5.6,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:37.000Z,REG-2026-000159,EP-CAB-5159,SIM-TD-159,EP,BAT,BATP,7.7101763,81.692448,0,,3.72,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:26.000Z,REG-2026-000186,NWP-CAB-5186,SIM-TD-186,NWP,PUT,PUTP,8.0362422,79.8281943,0,,4.53,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:12.000Z,REG-2026-000196,WP-CAB-5196,SIM-TD-196,WP,GAM,NEG,7.2081625,79.8358812,0,,7.9,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:23.000Z,REG-2026-000199,CP-CAB-5199,SIM-TD-199,CP,KAN,KDY,7.2907545,80.6337717,0,,8.13,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:38.000Z,REG-2026-000185,NWP-CAB-5185,SIM-TD-185,NWP,KUR,KURP,7.4861237,80.364616,0,,7.87,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:23.000Z,REG-2026-000182,EP-CAB-5182,SIM-TD-182,EP,TRI,TRIP,8.5871719,81.2152208,0,,4.31,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:26.000Z,REG-2026-000193,WP-CAB-5193,SIM-TD-193,WP,COL,FORT,6.934172,79.8429995,0,,4.04,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:23.000Z,REG-2026-000180,SP-CAB-5180,SIM-TD-180,SP,HAM,HAMB,6.1241781,81.1182806,0,,7.33,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:25.000Z,REG-2026-000188,NCP-CAB-5188,SIM-TD-188,NCP,POL,POLP,7.9401528,81.0190007,0,,4.84,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:36.000Z,REG-2026-000187,NCP-CAB-5187,SIM-TD-187,NCP,ANU,ANUP,8.3111522,80.4035312,0,,5.75,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:12.000Z,REG-2026-000184,EP-CAB-5184,SIM-TD-184,EP,AMP,AMPP,7.2914202,81.6725591,0,,6.87,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:27.000Z,REG-2026-000178,SP-CAB-5178,SIM-TD-178,SP,GAL,GALP,6.0330062,80.2168614,0,,6.71,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:17.000Z,REG-2026-000191,SAB-CAB-5191,SIM-TD-191,SAB,RAT,RATP,6.6829138,80.3993622,0,,7.82,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:20.000Z,REG-2026-000194,WP-CAB-5194,SIM-TD-194,WP,COL,PET,6.939292,79.8507752,0,,5.38,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:27.000Z,REG-2026-000190,UVA-CAB-5190,SIM-TD-190,UVA,MON,MONP,6.8726479,81.3509117,0,,5.01,false
2026-04-23T00:30:00.000Z,2026-04-23T00:30:37.000Z,REG-2026-000200,CP-CAB-5200,SIM-TD-200,CP,KAN,PER,7.2663658,80.5939807,0,,4.71,false
